  lc        k         e         sdir      sby       sbz       ux        uy        uz        Di        Do        t       
  -         -         -         MPa       MPa       MPa       -         -         -         mm        mm        mm      
        7.        6.      217.  0.33E+00  0.22E-01  0.24E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        7.       80.  0.14E+01  0.39E+01  0.11E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        7.      235.  0.20E-01  0.35E-02  0.88E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        7.      288.  0.65E-01  0.21E-02  0.25E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        8.      130.  0.14E+01  0.98E+00  0.39E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        8.      252.  0.20E-01  0.22E-02  0.88E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        8.      253.  0.65E-01  0.32E-02  0.25E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        9.      180.  0.13E+01  0.14E+01  0.25E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        7.        9.      270.  0.65E-01  0.61E-02  0.90E+00  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        7.        9.      271.  0.65E-01  0.49E-02  0.88E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        1.        1.  0.77E+01  0.94E-04  0.16E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        2.       11.  0.77E+01  0.14E-04  0.16E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        3.       21.  0.64E+01  0.19E+00  0.34E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        4.       10.  0.70E+01  0.18E-01  0.31E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        4.       31.  0.54E+01  0.57E+01  0.31E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        4.      181.  0.41E+00  0.17E-01  0.33E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        4.      234.  0.25E+00  0.21E-01  0.55E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        5.       20.  0.70E+01  0.16E-01  0.31E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        5.       81.  0.54E+01  0.15E+00  0.65E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        5.      198.  0.41E+00  0.16E-01  0.33E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        5.      199.  0.25E+00  0.21E-01  0.55E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        6.       30.  0.57E+01  0.37E+01  0.63E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        6.      131.  0.50E+01  0.87E+00  0.15E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        6.      216.  0.25E+00  0.49E-01  0.58E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        6.      217.  0.25E+00  0.48E-01  0.58E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        7.       80.  0.15E+01  0.48E+01  0.19E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        7.      235.  0.28E-01  0.28E-02  0.71E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        7.      288.  0.65E-01  0.17E-02  0.37E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        8.      130.  0.15E+01  0.70E+00  0.51E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        8.      252.  0.28E-01  0.21E-02  0.71E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        8.      253.  0.65E-01  0.23E-02  0.37E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        9.      180.  0.12E+01  0.62E+00  0.11E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        8.        9.      270.  0.65E-01  0.48E-02  0.48E-01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        8.        9.      271.  0.65E-01  0.41E-02  0.74E-01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        9.        1.        1.  0.79E+01  0.14E-03  0.25E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        2.       11.  0.79E+01  0.28E-03  0.25E-03  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        3.       21.  0.59E+01  0.28E+00  0.48E+00  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        4.       10.  0.72E+01  0.27E-01  0.48E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        4.       31.  0.54E+01  0.73E+01  0.49E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        4.      181.  0.44E+00  0.29E-01  0.98E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        9.        4.      234.  0.17E+00  0.35E-01  0.81E+01  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        9.        5.       20.  0.72E+01  0.19E-01  0.48E-01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        5.       81.  0.54E+01  0.62E+00  0.88E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
        9.        5.      198.  0.44E+00  0.29E-01  0.98E+00  0.865031  0.501718  1.000000  0.90E+03  0.10E+04  0.12E+02
        9.        5.      199.  0.17E+00  0.35E-01  0.81E+01  0.000000  1.000000  1.000000  0.90E+03  0.10E+04  0.12E+02
        9.        6.       30.  0.52E+01  0.53E+01  0.92E+01  1.000000  1.000000  0.000000  0.90E+03  0.10E+04  0.12E+02
